"Cohort","Primary_Signature","Primary_Omic_Token","color_var_Partner","Partner_Omic_Token","Interaction_Strength","Spearman_HighZone_CrossTalk","PValue_HighZone","Spearman_MidZone_CrossTalk","PValue_MidZone","Mathematical_Classification"
"ACC_DSS_df377","ACC-98.6.3.P.1.44.44.2.3.4",6,"ACC-141.7.1.P.2.14.35.4.4.2",7,0.100932,-0.7404,0.000433604967808545,0.1067,0.529673078059309,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_DSS_df377","ACC-145.7.1.P.3.44.35.4.4.2",7,"ACC-98.6.3.P.1.44.44.2.3.4",6,0.078052,-0.0842,0.731801160191591,0.6468,1.52301628367001e-05,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"ACC_DSS_df377","ACC-68.5.3.P.1.44.44.4.4.1",5,"ACC-145.7.1.P.3.44.35.4.4.2",7,0.077766,-0.2695,0.264454228458862,-0.0927,0.585238598885571,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_DSS_df377","ACC-141.7.1.P.2.14.35.4.4.2",7,"ACC-98.6.3.P.1.44.44.2.3.4",6,0.100932,-0.1474,0.545792758863444,0.5591,0.00032217455955723,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"ACC_DSS_df377","ACC-70.5.3.P.3.44.43.2.4.1",5,"ACC-145.7.1.P.3.44.35.4.4.2",7,0.058715,-0.0957,0.696747009191648,-0.1708,0.312043422086201,"NEUTRAL (Contextual Noise)"
"ACC_DSS_df377","ACC-99.6.3.P.3.44.44.4.4.1",6,"ACC-145.7.1.P.3.44.35.4.4.2",7,0.033526,-0.0527,0.830335706825122,-0.0158,0.926201865298775,"NEUTRAL (Contextual Noise)"
"ACC_OS_df377","ACC-145.7.1.P.3.44.35.4.4.2",7,"ACC-141.7.1.P.2.14.35.4.4.2",7,0.10874,-0.4617,0.0419875378832293,0.4694,0.00294945122195367,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_OS_df377","ACC-68.5.3.P.1.44.44.4.4.1",5,"ACC-145.7.1.P.3.44.35.4.4.2",7,0.099607,-0.1686,0.477324215199083,-0.0888,0.596205364852766,"NEUTRAL (Contextual Noise)"
"ACC_OS_df377","ACC-98.6.3.P.1.44.44.2.3.4",6,"ACC-141.7.1.P.2.14.35.4.4.2",7,0.139022,-0.5865,0.00759661022955125,0.1595,0.338671356515962,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_OS_df377","ACC-141.7.1.P.2.14.35.4.4.2",7,"ACC-98.6.3.P.1.44.44.2.3.4",6,0.139022,-0.1609,0.49637184867269,0.3905,0.0159242391006285,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"ACC_OS_df377","ACC-70.5.3.P.3.44.43.2.4.1",5,"ACC-68.5.3.P.1.44.44.4.4.1",5,0.074991,-0.5173,0.0209783805193926,0.1108,0.50625524650045,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_OS_df377","ACC-99.6.3.P.3.44.44.4.4.1",6,"ACC-70.5.3.P.3.44.43.2.4.1",5,0.03914,-0.6632,0.00188218351008583,0.3426,0.035823231254985,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_PFI_df377","ACC-98.6.3.P.1.44.44.2.3.4",6,"ACC-141.7.1.P.2.14.35.4.4.2",7,0.136716,-0.4932,0.0286611154091917,0.2136,0.197862402191051,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_PFI_df377","ACC-141.7.1.P.2.14.35.4.4.2",7,"ACC-145.7.1.P.3.44.35.4.4.2",7,0.145265,-0.1512,0.524450845667863,0.1969,0.236167566144475,"NEUTRAL (Contextual Noise)"
"ACC_PFI_df377","ACC-70.5.3.P.3.44.43.2.4.1",5,"ACC-98.6.3.P.1.44.44.2.3.4",6,0.105085,0.4827,0.0326611064837559,-0.5599,0.000324311028384044,"SYNERGY (Hazard Amplification)"
"ACC_PFI_df377","ACC-145.7.1.P.3.44.35.4.4.2",7,"ACC-141.7.1.P.2.14.35.4.4.2",7,0.145265,-0.3789,0.100227040923247,0.0785,0.639589248735052,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_PFI_df377","ACC-68.5.3.P.1.44.44.4.4.1",5,"ACC-141.7.1.P.2.14.35.4.4.2",7,0.123096,-0.3985,0.0828741428456941,0.1783,0.284256664187355,"ANTAGONISM (Rescue/Protective Effect)"
"ACC_PFI_df377","ACC-99.6.3.P.3.44.44.4.4.1",6,"ACC-70.5.3.P.3.44.43.2.4.1",5,0.028531,0.0286,0.906365597028504,0.1222,0.463344278645994,"NEUTRAL (Contextual Noise)"
"ACC_PFI_df377","ACC-14.2.1.P.2.44.35.4.4.2",2,"ACC-98.6.3.P.1.44.44.2.3.4",6,0.00289,0.7144,2.96447255437481e-13,NA,NA,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-434.5.3.N.2.14.11.1.4.1",5,"BLCA-202.5.3.N.2.31.31.2.4.1",5,0.019145,0.2122,0.142884100745594,-0.2926,0.000371711481701929,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-328.5.3.P.3.20.20.1.4.1",5,"BLCA-1360.6.3.P.3.35.44.4.4.1",6,0.034867,-0.3514,0.0136962237477824,0.108,0.294902406665182,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-814.5.3.N.2.26.7.2.4.1",5,"BLCA-505.6.3.P.3.11.11.1.4.1",6,0.012191,0.5481,5.04596814654719e-05,0.5016,2.24513788911845e-07,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-287.5.3.P.3.20.20.2.4.2",5,"BLCA-293.5.3.N.2.44.44.1.4.1",5,0.011286,0.1907,0.188758791589317,0.1795,0.080098721694761,"NEUTRAL (Contextual Noise)"
"BLCA_DFI_df155","BLCA-293.5.3.N.2.44.44.1.4.1",5,"BLCA-1190.6.2.N.1.95.71.1.1.2",6,0.014977,-0.0089,0.951447396340845,0.0183,0.85979423924518,"NEUTRAL (Contextual Noise)"
"BLCA_DFI_df155","BLCA-210.5.3.N.1.1.31.3.2.2",5,"BLCA-1266.6.3.N.1.20.20.1.1.2",6,0.033235,-0.6785,8.45146612537209e-08,0.1589,0.122012302243149,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1570.4.3.P.3.71.64.2.4.2",4,"BLCA-239.5.3.N.1.1.31.3.2.6",5,0.021829,0.7468,7.21175500386631e-10,-0.4601,2.39888889918041e-06,"SYNERGY (Hazard Amplification)"
