Feature,Biological Layer,Total Cohorts,Cohorts Present,Total Algorithms,Algorithms Validating,Nomenclature,Signature,Decoded Genetic Element,Elements,CTAB,GSI,GFC,PFC,SCS,TNC,HRC,SMC,TMC,TIC,RCD,Combined Outcome,Protective Count,Risky Count,NS Count,RCD form,Omic feature,Phenotype,Expression,RSF Importance,RSF Validation,Boruta Importance,Boruta Validation,XGBoost Importance,XGBoost Validation,MTLR Importance,MTLR Validation,Total Validated Algorithms
HNSC-1318.7.3.N.3.71.35.1.1.3,CpG Methylation,4,"HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",HNSC-1318.7.3.N.3.71.35.1.1.3,FASLG,FASLG,1,HNSC,1318,7,3,N,3,71,35,1,1,3,Protective,3,0,1,Apoptosis/Necroptosis/Necrosis,Methylation,TSM,Overexpression,0.008915563,Validated (>0.005),21.35545712,Validated (>0.005),0.008561943,Validated (>0.005),0.192034125,Validated (>0.005),4
KIRP-1069.7.3.N.3.62.84.4.4.1,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-1069.7.3.N.3.62.84.4.4.1,NLRP11,NLRP11,1,KIRP,1069,7,3,N,3,62,84,4,4,1,Protective,1,0,3,Apoptosis,Methylation,TSM,Overexpression,0.019578282,Validated (>0.005),4.056436923,Validated (>0.005),0.037090125,Validated (>0.005),0.057532709,Validated (>0.005),4
KIRP-1177.7.3.N.1.41.70.4.4.2,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-1177.7.3.N.1.41.70.4.4.2,SLCO1B3,SLCO1B3,1,KIRP,1177,7,3,N,1,41,70,4,4,2,Risky,0,2,2,Anoikis/Apoptosis,Methylation,TSM,Unchanged,0.017010111,Validated (>0.005),1.797786489,Validated (>0.005),0.028820702,Validated (>0.005),0.019785421,Validated (>0.005),4
KIRP-1188.7.3.P.3.7.38.2.3.1,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR",KIRP-1188.7.3.P.3.7.38.2.3.1,SPAG6,SPAG6,1,KIRP,1188,7,3,P,3,7,38,2,3,1,Protective,1,0,3,Apoptosis,Methylation,TSM,Overexpression,0.013301813,Validated (>0.005),2.851350817,Validated (>0.005),0.021078194,Validated (>0.005),0.029444436,Validated (>0.005),4
KIRP-1205.7.3.P.2.31.58.2.4.1,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-1205.7.3.P.2.31.58.2.4.1,TFAP2B,TFAP2B,1,KIRP,1205,7,3,P,2,31,58,2,4,1,Risky,0,2,2,Necrosis,Methylation,TSM,Underexpression,0.013870549,Validated (>0.005),3.674357972,Validated (>0.005),0.011543006,Validated (>0.005),0.065094278,Validated (>0.005),4
KIRP-351.7.3.P.1.44.44.4.4.1,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-351.7.3.P.1.44.44.4.4.1,(FHL3 + PITX1),(FHL3 + PITX1),2,KIRP,351,7,3,P,1,44,44,4,4,1,Meaningful Risky,0,4,0,Apoptosis,Methylation,TSM,Unchanged,0.008059375,Validated (>0.005),2.536509968,Validated (>0.005),0.02557991,Validated (>0.005),0.044080518,Validated (>0.005),4
KIRP-449.7.2.P.3.69.44.3.3.1,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-449.7.2.P.3.69.44.3.3.1,ALOX15B,ALOX15B,1,KIRP,449,7,2,P,3,69,44,3,3,1,Protective,2,0,2,Apoptosis,Methylation,MSI,Overexpression,0.010271557,Validated (>0.005),1.304821877,Validated (>0.005),0.007348033,Validated (>0.005),0.017584373,Validated (>0.005),4
KIRP-988.7.3.N.2.44.70.3.3.1,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-988.7.3.N.2.44.70.3.3.1,KIR2DL4,KIR2DL4,1,KIRP,988,7,3,N,2,44,70,3,3,1,Meaningful Risky,0,4,0,Cellular senescence,Methylation,TSM,Underexpression,0.012259326,Validated (>0.005),2.863836572,Validated (>0.005),0.033101325,Validated (>0.005),0.038261638,Validated (>0.005),4
KIRP-996.7.3.N.3.62.95.3.3.2,CpG Methylation,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR",KIRP-996.7.3.N.3.62.95.3.3.2,LILRB4,LILRB4,1,KIRP,996,7,3,N,3,62,95,3,3,2,Protective,1,0,3,Apoptosis/Necrosis,Methylation,TSM,Overexpression,0.01006754,Validated (>0.005),4.535361793,Validated (>0.005),0.009253332,Validated (>0.005),0.074934649,Validated (>0.005),4
STAD-2410.7.3.N.1.44.4.4.4.2,CpG Methylation,4,"STAD_DFI_df157, STAD_DSS_df157, STAD_OS_df157, STAD_PFI_df157",4,"XGBoost, Boruta, RSF, MTLR",STAD-2410.7.3.N.1.44.4.4.4.2,MBL2,MBL2,1,STAD,2410,7,3,N,1,44,4,4,4,2,Meaningful Risky,0,4,0,Apoptosis/Necrosis,Methylation,TSM,Unchanged,0.005375569,Validated (>0.005),21.43292893,Validated (>0.005),0.006257121,Validated (>0.005),0.049941384,Validated (>0.005),4
STAD-274.7.3.P.3.35.64.2.4.2,CpG Methylation,4,"STAD_DFI_df157, STAD_DSS_df157, STAD_OS_df157, STAD_PFI_df157",4,"XGBoost, Boruta, RSF, MTLR",STAD-274.7.3.P.3.35.64.2.4.2,(COMMD10 + MEF2C),(COMMD10 + MEF2C),2,STAD,274,7,3,P,3,35,64,2,4,2,Risky,0,3,1,Apoptosis/Ferroptosis,Methylation,TSM,Overexpression,0.008935003,Validated (>0.005),16.20419392,Validated (>0.005),0.013574078,Validated (>0.005),0.064139637,Validated (>0.005),4
SARC-188.1.3.P.3.44.44.2.4.3,Protein,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-188.1.3.P.3.44.44.2.4.3,CHK1,CHK1,1,SARC,188,1,3,P,3,44,44,2,4,3,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Mitotic catastrophe,Protein,TSM,Overexpression,0.014112429,Validated (>0.005),9.405160898,Validated (>0.005),0.031742127,Validated (>0.005),0.107118389,Validated (>0.005),4
BLCA-170.5.3.P.3.35.35.1.4.2,Transcript,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, Boruta, RSF, MTLR",BLCA-170.5.3.P.3.35.35.1.4.2,(ENST00000217426 + ENST00000234590),(AHCY(1/6)) + (ENO1(1/16)),2,BLCA,170,5,3,P,3,35,35,1,4,2,Risky,0,3,1,Apoptosis/Ferroptosis,Transcript,TSM,Overexpression,0.006109175,Validated (>0.005),18.67792438,Validated (>0.005),0.008991028,Validated (>0.005),0.102932297,Validated (>0.005),4
BLCA-202.5.3.N.2.31.31.2.4.1,Transcript,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"Boruta, XGBoost, RSF, MTLR",BLCA-202.5.3.N.2.31.31.2.4.1,(ENST00000295228 + ENST00000278071),(INHBB(1/1)) + (ITPRIP(1/5)),2,BLCA,202,5,3,N,2,31,31,2,4,1,Risky,0,2,2,Anoikis,Transcript,TSM,Underexpression,0.011380201,Validated (>0.005),9.911445958,Validated (>0.005),0.021939313,Validated (>0.005),0.949178872,Validated (>0.005),4
BLCA-293.5.3.N.2.44.44.1.4.1,Transcript,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, RSF, Boruta, MTLR",BLCA-293.5.3.N.2.44.44.1.4.1,(ENST00000409363 + ENST00000588684 + ENST00000258341),(ADCYAP1R1(1/8)) + (DTNA(1/65)) + (LAMC1(1/6)),3,BLCA,293,5,3,N,2,44,44,1,4,1,Meaningful Risky,0,4,0,Apoptosis,Transcript,TSM,Underexpression,0.012772762,Validated (>0.005),24.46408837,Validated (>0.005),0.023516285,Validated (>0.005),0.112173005,Validated (>0.005),4
BLCA-434.5.3.N.2.14.11.1.4.1,Transcript,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"Boruta, XGBoost, RSF, MTLR",BLCA-434.5.3.N.2.14.11.1.4.1,(ENST00000630684 + ENST00000373698),(FHL1(1/36)) + (PTGS1(1/10)),2,BLCA,434,5,3,N,2,14,11,1,4,1,Risky,0,2,2,Apoptosis,Transcript,TSM,Underexpression,0.041942942,Validated (>0.005),7.258921915,Validated (>0.005),0.034815784,Validated (>0.005),1.51507292,Validated (>0.005),4
BLCA-788.5.3.N.1.26.26.3.4.2,Transcript,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"Boruta, XGBoost, RSF, MTLR",BLCA-788.5.3.N.1.26.26.3.4.2,ENST00000290863,(ACE(1/21)),1,BLCA,788,5,3,N,1,26,26,3,4,2,Protective,2,0,2,Apoptosis/Necrosis,Transcript,TSM,Unchanged,0.014939369,Validated (>0.005),7.793097095,Validated (>0.005),0.014963967,Validated (>0.005),1.456472367,Validated (>0.005),4
BRCA-491.5.3.N.2.95.95.1.4.1,Transcript,4,"BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008",4,"XGBoost, RSF, Boruta, MTLR",BRCA-491.5.3.N.2.95.95.1.4.1,(ENST00000309950 + ENST00000296522 + ENST00000366784 + ENST00000360830 + ENST00000394455),(DAPL1(1/4)) + (HPGD(1/14)) + (ITPKB(1/3)) + (RPS24(1/18)) + (ZFYVE26(1/16)),5,BRCA,491,5,3,N,2,95,95,1,4,1,Meaningful Protective,4,0,0,Autophagy,Transcript,TSM,Underexpression,0.008768705,Validated (>0.005),27.19355623,Validated (>0.005),0.022860087,Validated (>0.005),0.169424972,Validated (>0.005),4
BRCA-737.5.3.N.2.95.92.1.4.2,Transcript,4,"BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008",4,"XGBoost, RSF, Boruta, MTLR",BRCA-737.5.3.N.2.95.92.1.4.2,(ENST00000467728 + ENST00000441012 + ENST00000471369 + ENST00000481353 + ENST00000394409 + ENST00000443624 + ENST00000266066 + ENST00000472566),(NR1H3(2/35)) + (OSCP1(1/12)) + (PDCD4(1/11)) + (PPP2R2B(1/21)) + (RPL11(1/6)) + (SFRP5(1/1)) + (USP24(1/7)),8,BRCA,737,5,3,N,2,95,92,1,4,2,Meaningful Protective,4,0,0,Apoptosis/Autophagy,Transcript,TSM,Underexpression,0.012664173,Validated (>0.005),27.8597974,Validated (>0.005),0.012069714,Validated (>0.005),0.184454459,Validated (>0.005),4
BRCA-894.5.3.P.3.93.7.1.4.1,Transcript,4,"BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008",4,"Boruta, XGBoost, RSF, MTLR",BRCA-894.5.3.P.3.93.7.1.4.1,(ENST00000535307 + ENST00000311161),(FEN1(1/3)) + (SLC29A2(1/7)),2,BRCA,894,5,3,P,3,93,7,1,4,1,Protective,3,0,1,Apoptosis,Transcript,TSM,Overexpression,0.010772377,Validated (>0.005),20.88583938,Validated (>0.005),0.014957596,Validated (>0.005),0.012986972,Validated (>0.005),4
CESC-515.5.3.P.3.71.7.4.4.3,Transcript,4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",CESC-515.5.3.P.3.71.7.4.4.3,ENST00000347617,(HMGA1(1/9)),1,CESC,515,5,3,P,3,71,7,4,4,3,Protective,3,0,1,Anoikis/Apoptosis/Cellular senescence,Transcript,TSM,Overexpression,0.005395801,Validated (>0.005),12.06286833,Validated (>0.005),0.005148532,Validated (>0.005),1.131044043,Validated (>0.005),4
CESC-592.5.3.N.2.15.1.2.4.3,Transcript,4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, RSF, Boruta, MTLR",CESC-592.5.3.N.2.15.1.2.4.3,ENST00000480413,(CCN1(1/6)),1,CESC,592,5,3,N,2,15,1,2,4,3,Risky,0,3,1,Anoikis/Apoptosis/Autophagy,Transcript,TSM,Underexpression,0.015619177,Validated (>0.005),12.848608,Validated (>0.005),0.018570581,Validated (>0.005),0.156256361,Validated (>0.005),4
