Cohort,CTAB,Metric,Primary_Signature,Signature_Primary,Decoded_Genetic_Element_Primary,Primary_Omic_Token,color_var_Partner,Signature_Partner,Decoded_Genetic_Element_Partner,Partner_Omic_Token,Interaction_Strength,Spearman_HighZone_CrossTalk,PValue_HighZone,Spearman_MidZone_CrossTalk,PValue_MidZone,Mathematical_Classification,FDR_HighZone,FDR_MidZone
ACC_DSS_df377,ACC,DSS,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,ACC-141.7.1.P.2.14.35.4.4.2,SERPINB1,SERPINB1,7,0.107294,-0.6982,0.0012287211275603,0.118,0.486871864416513,ANTAGONISM (Rescue/Protective Effect),0.0022804744071229,0.547836008078034
ACC_DSS_df377,ACC,DSS,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,0.093709,-0.0544,0.825943281422336,0.6482,1.43796003438938e-05,CONTEXT-DEPENDENT BIFURCATION (Three-Tiered),0.850963041832076,3.56999359356159e-05
ACC_DSS_df377,ACC,DSS,ACC-68.5.3.P.1.44.44.4.4.1,ENST00000233893,(HSPE1(1/7)),5,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.083241,-0.2432,0.315731952140852,-0.1049,0.536570017691003,NOT SIGNIFICANT,0.366191616613234,0.595822567787949
ACC_DSS_df377,ACC,DSS,ACC-141.7.1.P.2.14.35.4.4.2,SERPINB1,SERPINB1,7,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,0.107294,-0.1579,0.517073631974514,0.507,0.0013618957131898,CONTEXT-DEPENDENT BIFURCATION (Three-Tiered),0.566734301319709,0.0025744464059792
ACC_DSS_df377,ACC,DSS,ACC-70.5.3.P.3.44.43.2.4.1,ENST00000409468,(HSPE1(1/7)),5,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.049698,-0.3143,0.19000985695224,-0.3035,0.0678381924028583,NOT SIGNIFICANT,0.231352620840733,0.0952164959256589
ACC_DSS_df377,ACC,DSS,ACC-99.6.3.P.3.44.44.4.4.1,HSPE1,HSPE1,6,ACC-141.7.1.P.2.14.35.4.4.2,SERPINB1,SERPINB1,7,0.033088,0.1614,0.50766621461397,-0.182,0.281042704089277,NOT SIGNIFICANT,0.557871895157912,0.339844460867897
ACC_OS_df377,ACC,OS,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,ACC-68.5.3.P.1.44.44.4.4.1,ENST00000233893,(HSPE1(1/7)),5,0.124872,-0.0346,0.886238252812438,0.4859,0.0022275121790712,CONTEXT-DEPENDENT BIFURCATION (Three-Tiered),0.903431293941111,0.0040735441578145
ACC_OS_df377,ACC,OS,ACC-68.5.3.P.1.44.44.4.4.1,ENST00000233893,(HSPE1(1/7)),5,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.124872,-0.0542,0.820475087661844,-0.0362,0.829064622983768,NOT SIGNIFICANT,0.846178273349109,0.858053373125639
ACC_OS_df377,ACC,OS,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.120548,-0.3281,0.157912351550439,0.176,0.290611785871422,NOT SIGNIFICANT,0.195852449460167,0.349970236921778
ACC_OS_df377,ACC,OS,ACC-141.7.1.P.2.14.35.4.4.2,SERPINB1,SERPINB1,7,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.111577,0.0406,0.864946187765157,0.1339,0.42272927088398,NOT SIGNIFICANT,0.884812607555229,0.485044226611002
ACC_OS_df377,ACC,OS,ACC-70.5.3.P.3.44.43.2.4.1,ENST00000409468,(HSPE1(1/7)),5,ACC-68.5.3.P.1.44.44.4.4.1,ENST00000233893,(HSPE1(1/7)),5,0.073848,-0.4301,0.0597679812996413,0.1741,0.294699251850461,NOT SIGNIFICANT,0.0811785555594964,0.354282587234302
ACC_OS_df377,ACC,OS,ACC-99.6.3.P.3.44.44.4.4.1,HSPE1,HSPE1,6,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.024378,-0.2288,0.331835941886228,0.1016,0.544063227372,NOT SIGNIFICANT,0.382928718431435,0.602884756325932
ACC_PFI_df377,ACC,PFI,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.132969,-0.0098,0.96735210182382,0.277,0.0922840696237071,NOT SIGNIFICANT,0.972806228503064,0.125530397810912
ACC_PFI_df377,ACC,PFI,ACC-141.7.1.P.2.14.35.4.4.2,SERPINB1,SERPINB1,7,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,0.118952,-0.1971,0.404791736215349,0.1667,0.31728937693696,NOT SIGNIFICANT,0.457297060589293,0.377808331836818
ACC_PFI_df377,ACC,PFI,ACC-70.5.3.P.3.44.43.2.4.1,ENST00000409468,(HSPE1(1/7)),5,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,0.120281,0.409,0.0745262874233974,-0.5199,0.0009679983764169,CONTEXT-DEPENDENT BIFURCATION (Three-Tiered),0.0992021367682383,0.0018737356846499
ACC_PFI_df377,ACC,PFI,ACC-145.7.1.P.3.44.35.4.4.2,SLC16A1,SLC16A1,7,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,0.132969,-0.0391,0.871187187529794,0.1898,0.252614219156647,NOT SIGNIFICANT,0.890118399307329,0.309511011591754
ACC_PFI_df377,ACC,PFI,ACC-68.5.3.P.1.44.44.4.4.1,ENST00000233893,(HSPE1(1/7)),5,ACC-141.7.1.P.2.14.35.4.4.2,SERPINB1,SERPINB1,7,0.1076,-0.4256,0.0627223318530757,0.1838,0.269200540234639,NOT SIGNIFICANT,0.0848031641492651,0.327190191604894
ACC_PFI_df377,ACC,PFI,ACC-99.6.3.P.3.44.44.4.4.1,HSPE1,HSPE1,6,ACC-70.5.3.P.3.44.43.2.4.1,ENST00000409468,(HSPE1(1/7)),5,0.036617,0.3534,0.126825628654495,0.0467,0.78003709071881,NOT SIGNIFICANT,0.160591689438154,0.816790125108283
ACC_PFI_df377,ACC,PFI,ACC-14.2.1.P.2.44.35.4.4.2,(COL18A1 + HDAC4 + MLH1 + UBE4B),(COL18A1 + HDAC4 + MLH1 + UBE4B),2,ACC-98.6.3.P.1.44.44.2.3.4,HSPD1,HSPD1,6,0.004038,0.6493,1.67959036849489e-10,,,SYNERGY (Hazard Amplification),9.56804883633069e-10,
BLCA_DFI_df155,BLCA,DFI,BLCA-434.5.3.N.2.14.11.1.4.1,(ENST00000630684 + ENST00000373698),(FHL1(1/36)) + (PTGS1(1/10)),5,BLCA-407.5.3.N.2.1.20.2.4.5,(ENST00000571870 + ENST00000573770),(SERPINF1(2/12)),5,0.02168,-0.1094,0.454095090765212,0.0982,0.24142884145008,NOT SIGNIFICANT,0.505628142479591,0.297456399045117
BLCA_DFI_df155,BLCA,DFI,BLCA-328.5.3.P.3.20.20.1.4.1,(ENST00000471470 + ENST00000534074),(CDC45(1/14)) + (MTCH2(1/6)),5,BLCA-1063.5.3.P.3.15.14.2.4.1,ENST00000580965,(RAC3(1/4)),5,0.018192,-0.1773,0.222101086643579,0.0328,0.750946347005433,NOT SIGNIFICANT,0.266674327065396,0.791452522046216
BLCA_DFI_df155,BLCA,DFI,BLCA-814.5.3.N.2.26.7.2.4.1,ENST00000330964,(RPS27L(1/8)),5,BLCA-328.5.3.P.3.20.20.1.4.1,(ENST00000471470 + ENST00000534074),(CDC45(1/14)) + (MTCH2(1/6)),5,0.014325,0.0862,0.550625691135514,0.3211,0.0015100037135959,CONTEXT-DEPENDENT BIFURCATION (Three-Tiered),0.598792632944878,0.0028318849127962
BLCA_DFI_df155,BLCA,DFI,BLCA-287.5.3.P.3.20.20.2.4.2,(ENST00000399433 + ENST00000413987),(PHB2(1/20)) + (SNHG3(1/3)),5,BLCA-293.5.3.N.2.44.44.1.4.1,(ENST00000409363 + ENST00000588684 + ENST00000258341),(ADCYAP1R1(1/8)) + (DTNA(1/65)) + (LAMC1(1/6)),5,0.012603,0.4727,0.0006955923864333,0.2683,0.0082141090487156,SYNERGY (Hazard Amplification),0.0013473157108692,0.0136988865925262
BLCA_DFI_df155,BLCA,DFI,BLCA-293.5.3.N.2.44.44.1.4.1,(ENST00000409363 + ENST00000588684 + ENST00000258341),(ADCYAP1R1(1/8)) + (DTNA(1/65)) + (LAMC1(1/6)),5,BLCA-1117.7.3.P.1.11.11.4.4.2,GHSR,GHSR,7,0.02293,0.353,0.0132700546885235,-0.2893,0.004248696129891,NOT SIGNIFICANT,0.0203858733389283,0.007418473678048
BLCA_DFI_df155,BLCA,DFI,BLCA-1117.7.3.P.1.11.11.4.4.2,GHSR,GHSR,7,BLCA-293.5.3.N.2.44.44.1.4.1,(ENST00000409363 + ENST00000588684 + ENST00000258341),(ADCYAP1R1(1/8)) + (DTNA(1/65)) + (LAMC1(1/6)),5,0.02293,0.3954,0.005214759003292,0.0136,0.895378527842257,SYNERGY (Hazard Amplification),0.0086271515978953,0.914729554181071
BLCA_DFI_df155,BLCA,DFI,BLCA-920.5.3.N.2.21.20.2.4.5,ENST00000429159,(MEG3(1/50)),5,BLCA-46.6.3.N.2.35.44.1.4.1,(APBB2 + CDC42BPA + EYA4 + GRIN2A + HIF3A + PENK + UTRN),(APBB2 + CDC42BPA + EYA4 + GRIN2A + HIF3A + PENK + UTRN),6,0.011034,-0.3264,0.0186062776134914,0.2209,0.0084802265180611,NOT SIGNIFICANT,0.0277945538225131,0.0141133700614501
BLCA_DFI_df155,BLCA,DFI,BLCA-210.5.3.N.1.1.31.3.2.2,(ENST00000305869 + ENST00000612179 + ENST00000504426 + ENST00000261402),(CCL11(1/1)) + (COMP(1/4)) + (LEF1(1/21)) + (NUAK1(1/4)),5,BLCA-1266.6.3.N.1.20.20.1.1.2,NCF1,NCF1,6,0.045473,-0.7002,2.14405735135594e-08,0.1572,0.126197476506992,ANTAGONISM (Rescue/Protective Effect),8.84417837517519e-08,0.166451981497908
BLCA_DFI_df155,BLCA,DFI,BLCA-1266.6.3.N.1.20.20.1.1.2,NCF1,NCF1,6,BLCA-210.5.3.N.1.1.31.3.2.2,(ENST00000305869 + ENST00000612179 + ENST00000504426 + ENST00000261402),(CCL11(1/1)) + (COMP(1/4)) + (LEF1(1/21)) + (NUAK1(1/4)),5,0.045473,-0.3522,0.0130811741611079,-0.2816,0.0055899116916219,NOT SIGNIFICANT,0.0201184878776881,0.0095791912287145
