"Feature","Biological_Layer","Cohorts_Present","Nomenclature","Signature","Elements","CTAB","RCD form","Omic feature","Phenotype"
"HNSC-1318.7.3.N.3.71.35.1.1.3","CpG Methylation","HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017","HNSC-1318.7.3.N.3.71.35.1.1.3","FASLG",1,"HNSC","Apoptosis/Necroptosis/Necrosis","Methylation","TSM"
"KIRP-1069.7.3.N.3.62.84.4.4.1","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-1069.7.3.N.3.62.84.4.4.1","NLRP11",1,"KIRP","Apoptosis","Methylation","TSM"
"KIRP-1177.7.3.N.1.41.70.4.4.2","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-1177.7.3.N.1.41.70.4.4.2","SLCO1B3",1,"KIRP","Anoikis/Apoptosis","Methylation","TSM"
"KIRP-1188.7.3.P.3.7.38.2.3.1","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-1188.7.3.P.3.7.38.2.3.1","SPAG6",1,"KIRP","Apoptosis","Methylation","TSM"
"KIRP-1205.7.3.P.2.31.58.2.4.1","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-1205.7.3.P.2.31.58.2.4.1","TFAP2B",1,"KIRP","Necrosis","Methylation","TSM"
"KIRP-351.7.3.P.1.44.44.4.4.1","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-351.7.3.P.1.44.44.4.4.1","(FHL3 + PITX1)",2,"KIRP","Apoptosis","Methylation","TSM"
"KIRP-449.7.2.P.3.69.44.3.3.1","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-449.7.2.P.3.69.44.3.3.1","ALOX15B",1,"KIRP","Apoptosis","Methylation","MSI"
"KIRP-988.7.3.N.2.44.70.3.3.1","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-988.7.3.N.2.44.70.3.3.1","KIR2DL4",1,"KIRP","Cellular senescence","Methylation","TSM"
"KIRP-996.7.3.N.3.62.95.3.3.2","CpG Methylation","KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377","KIRP-996.7.3.N.3.62.95.3.3.2","LILRB4",1,"KIRP","Apoptosis/Necrosis","Methylation","TSM"
"STAD-2410.7.3.N.1.44.4.4.4.2","CpG Methylation","STAD_DFI_df157, STAD_DSS_df157, STAD_OS_df157, STAD_PFI_df157","STAD-2410.7.3.N.1.44.4.4.4.2","MBL2",1,"STAD","Apoptosis/Necrosis","Methylation","TSM"
"STAD-274.7.3.P.3.35.64.2.4.2","CpG Methylation","STAD_DFI_df157, STAD_DSS_df157, STAD_OS_df157, STAD_PFI_df157","STAD-274.7.3.P.3.35.64.2.4.2","(COMMD10 + MEF2C)",2,"STAD","Apoptosis/Ferroptosis","Methylation","TSM"
"SARC-188.1.3.P.3.44.44.2.4.3","Protein","SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305","SARC-188.1.3.P.3.44.44.2.4.3","CHK1",1,"SARC","Apoptosis/Autophagy/Mitotic catastrophe","Protein","TSM"
"BLCA-170.5.3.P.3.35.35.1.4.2","Transcript","BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155","BLCA-170.5.3.P.3.35.35.1.4.2","(ENST00000217426 + ENST00000234590)",2,"BLCA","Apoptosis/Ferroptosis","Transcript","TSM"
"BLCA-202.5.3.N.2.31.31.2.4.1","Transcript","BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155","BLCA-202.5.3.N.2.31.31.2.4.1","(ENST00000295228 + ENST00000278071)",2,"BLCA","Anoikis","Transcript","TSM"
"BLCA-293.5.3.N.2.44.44.1.4.1","Transcript","BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155","BLCA-293.5.3.N.2.44.44.1.4.1","(ENST00000409363 + ENST00000588684 + ENST00000258341)",3,"BLCA","Apoptosis","Transcript","TSM"
"BLCA-434.5.3.N.2.14.11.1.4.1","Transcript","BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155","BLCA-434.5.3.N.2.14.11.1.4.1","(ENST00000630684 + ENST00000373698)",2,"BLCA","Apoptosis","Transcript","TSM"
"BLCA-788.5.3.N.1.26.26.3.4.2","Transcript","BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155","BLCA-788.5.3.N.1.26.26.3.4.2","ENST00000290863",1,"BLCA","Apoptosis/Necrosis","Transcript","TSM"
"BRCA-2044.5.3.N.3.35.44.2.2.2","Transcript","BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008","BRCA-2044.5.3.N.3.35.44.2.2.2","ENST00000458659",1,"BRCA","Apoptosis/Cellular senescence","Transcript","TSM"
"BRCA-491.5.3.N.2.95.95.1.4.1","Transcript","BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008","BRCA-491.5.3.N.2.95.95.1.4.1","(ENST00000309950 + ENST00000296522 + ENST00000366784 + ENST00000360830 + ENST00000394455)",5,"BRCA","Autophagy","Transcript","TSM"
