"Feature","Biological Layer","Total Cohorts","Cohorts Present","Total Algorithms","Algorithms Validating","Nomenclature","Signature","Elements","CTAB","GSI","GFC","PFC","SCS","TNC","HRC","SMC","TMC","TIC","RCD","Combined Outcome","Protective Count","Risky Count","NS Count","RCD form","Omic feature","Phenotype","Expression","RSF Importance","RSF Validation","Boruta Importance","Boruta Validation","XGBoost Importance","XGBoost Validation","MTLR Importance","MTLR Validation","Total Validated Algorithms"
"HNSC-1318.7.3.N.3.71.35.1.1.3","CpG Methylation",4,"HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR","HNSC-1318.7.3.N.3.71.35.1.1.3","FASLG",1,"HNSC",1318,7,3,"N",3,71,35,1,1,3,"Protective",3,0,1,"Apoptosis/Necroptosis/Necrosis","Methylation","TSM","Overexpression",0.00891556255925272,"Validated (>0.005)",21.3554571204805,"Validated (>0.005)",0.00856194257671867,"Validated (>0.005)",0.192034124790756,"Validated (>0.005)",4
"KIRP-1069.7.3.N.3.62.84.4.4.1","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-1069.7.3.N.3.62.84.4.4.1","NLRP11",1,"KIRP",1069,7,3,"N",3,62,84,4,4,1,"Protective",1,0,3,"Apoptosis","Methylation","TSM","Overexpression",0.0195782819570083,"Validated (>0.005)",4.05643692291304,"Validated (>0.005)",0.0370901250387557,"Validated (>0.005)",0.0575327092765986,"Validated (>0.005)",4
"KIRP-1177.7.3.N.1.41.70.4.4.2","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-1177.7.3.N.1.41.70.4.4.2","SLCO1B3",1,"KIRP",1177,7,3,"N",1,41,70,4,4,2,"Risky",0,2,2,"Anoikis/Apoptosis","Methylation","TSM","Unchanged",0.0170101112312502,"Validated (>0.005)",1.79778648883465,"Validated (>0.005)",0.0288207024673831,"Validated (>0.005)",0.0197854208551133,"Validated (>0.005)",4
"KIRP-1188.7.3.P.3.7.38.2.3.1","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR","KIRP-1188.7.3.P.3.7.38.2.3.1","SPAG6",1,"KIRP",1188,7,3,"P",3,7,38,2,3,1,"Protective",1,0,3,"Apoptosis","Methylation","TSM","Overexpression",0.0133018128359956,"Validated (>0.005)",2.85135081703926,"Validated (>0.005)",0.0210781939013611,"Validated (>0.005)",0.0294444363366551,"Validated (>0.005)",4
"KIRP-1205.7.3.P.2.31.58.2.4.1","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-1205.7.3.P.2.31.58.2.4.1","TFAP2B",1,"KIRP",1205,7,3,"P",2,31,58,2,4,1,"Risky",0,2,2,"Necrosis","Methylation","TSM","Underexpression",0.0138705485540552,"Validated (>0.005)",3.67435797221257,"Validated (>0.005)",0.011543006202499,"Validated (>0.005)",0.0650942784850931,"Validated (>0.005)",4
"KIRP-351.7.3.P.1.44.44.4.4.1","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-351.7.3.P.1.44.44.4.4.1","(FHL3 + PITX1)",2,"KIRP",351,7,3,"P",1,44,44,4,4,1,"Meaningful Risky",0,4,0,"Apoptosis","Methylation","TSM","Unchanged",0.00805937452098538,"Validated (>0.005)",2.53650996823378,"Validated (>0.005)",0.0255799099836046,"Validated (>0.005)",0.0440805182521247,"Validated (>0.005)",4
"KIRP-449.7.2.P.3.69.44.3.3.1","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-449.7.2.P.3.69.44.3.3.1","ALOX15B",1,"KIRP",449,7,2,"P",3,69,44,3,3,1,"Protective",2,0,2,"Apoptosis","Methylation","MSI","Overexpression",0.0102715571021233,"Validated (>0.005)",1.30482187713059,"Validated (>0.005)",0.00734803296838302,"Validated (>0.005)",0.0175843728075878,"Validated (>0.005)",4
"KIRP-988.7.3.N.2.44.70.3.3.1","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-988.7.3.N.2.44.70.3.3.1","KIR2DL4",1,"KIRP",988,7,3,"N",2,44,70,3,3,1,"Meaningful Risky",0,4,0,"Cellular senescence","Methylation","TSM","Underexpression",0.012259326177038,"Validated (>0.005)",2.8638365719977,"Validated (>0.005)",0.0331013246745671,"Validated (>0.005)",0.0382616380578898,"Validated (>0.005)",4
"KIRP-996.7.3.N.3.62.95.3.3.2","CpG Methylation",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR","KIRP-996.7.3.N.3.62.95.3.3.2","LILRB4",1,"KIRP",996,7,3,"N",3,62,95,3,3,2,"Protective",1,0,3,"Apoptosis/Necrosis","Methylation","TSM","Overexpression",0.0100675398122853,"Validated (>0.005)",4.53536179285409,"Validated (>0.005)",0.00925333152659813,"Validated (>0.005)",0.0749346485200711,"Validated (>0.005)",4
"STAD-2410.7.3.N.1.44.4.4.4.2","CpG Methylation",4,"STAD_DFI_df157, STAD_DSS_df157, STAD_OS_df157, STAD_PFI_df157",4,"XGBoost, Boruta, RSF, MTLR","STAD-2410.7.3.N.1.44.4.4.4.2","MBL2",1,"STAD",2410,7,3,"N",1,44,4,4,4,2,"Meaningful Risky",0,4,0,"Apoptosis/Necrosis","Methylation","TSM","Unchanged",0.00537556865498242,"Validated (>0.005)",21.4329289293712,"Validated (>0.005)",0.00625712079646549,"Validated (>0.005)",0.0499413841532237,"Validated (>0.005)",4
