type	variable	group	n_total	n_missing	prop_missing_raw	prop_missing	eligible_for_imputation
GBM	sample	clinical	165	0	0	0	TRUE
GBM	patient	clinical	165	0	0	0	TRUE
GBM	BestCall	clinical	165	1	0.00606060606060606	0.0061	TRUE
GBM	age_at_initial_pathologic_diagnosis	clinical	165	0	0	0	TRUE
GBM	gender	clinical	165	0	0	0	TRUE
GBM	race	clinical	165	2	0.0121212121212121	0.0121	TRUE
GBM	ajcc_pathologic_tumor_stage	clinical	165	0	0	0	TRUE
GBM	clinical_stage	clinical	165	0	0	0	TRUE
GBM	histological_type	clinical	165	0	0	0	TRUE
GBM	histological_grade	clinical	165	165	1	1	FALSE
GBM	initial_pathologic_dx_year	clinical	165	0	0	0	TRUE
GBM	menopause_status	clinical	165	165	1	1	FALSE
GBM	birth_days_to	clinical	165	0	0	0	TRUE
GBM	vital_status	clinical	165	0	0	0	TRUE
GBM	tumor_status	clinical	165	0	0	0	TRUE
GBM	last_contact_days_to	clinical	165	25	0.151515151515152	0.1515	TRUE
GBM	death_days_to	clinical	165	33	0.2	0.2	TRUE
GBM	cause_of_death	clinical	165	12	0.0727272727272727	0.0727	TRUE
GBM	new_tumor_event_type	clinical	165	39	0.236363636363636	0.2364	TRUE
GBM	new_tumor_event_site	clinical	165	39	0.236363636363636	0.2364	TRUE
GBM	new_tumor_event_site_other	clinical	165	0	0	0	TRUE
GBM	new_tumor_event_dx_days_to	clinical	165	0	0	0	TRUE
GBM	treatment_outcome_first_course	clinical	165	161	0.975757575757576	0.9758	FALSE
GBM	margin_status	clinical	165	165	1	1	FALSE
GBM	residual_tumor	clinical	165	165	1	1	FALSE
GBM	RNAss	clinical	165	1	0.00606060606060606	0.0061	TRUE
GBM	Non_silent_per_Mb	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	Total_nb_MSI_events	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_3utr	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_5utr	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_mono	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_di	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_tri	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_tetra	clinical	165	5	0.0303030303030303	0.0303	TRUE
GBM	MSI_category_nb_from_TCGA_consortium	clinical	165	165	1	1	FALSE
GBM	BatchId	clinical	165	0	0	0	TRUE
GBM	OS	clinical	165	0	0	0	FALSE
GBM	OS.time	clinical	165	0	0	0	TRUE
GBM	DSS	clinical	165	12	0.0727272727272727	0.0727	FALSE
GBM	DSS.time	clinical	165	0	0	0	TRUE
GBM	DSS_harmonized_from_OS0	clinical	165	0	0	0	TRUE
GBM	DSS_cr	clinical	165	13	0.0787878787878788	0.0788	TRUE
GBM	DSS.time.cr	clinical	165	0	0	0	TRUE
GBM	DFI	clinical	165	73	0.442424242424243	0.4424	FALSE
GBM	DFI.time	clinical	165	164	0.993939393939394	0.9939	FALSE
GBM	DFI.cr	clinical	165	73	0.442424242424243	0.4424	FALSE
GBM	DFI.time.cr	clinical	165	164	0.993939393939394	0.9939	FALSE
GBM	PFI	clinical	165	0	0	0	FALSE
GBM	PFI.time	clinical	165	0	0	0	TRUE
GBM	PFI.cr	clinical	165	0	0	0	TRUE
GBM	PFI.time.cr	clinical	165	0	0	0	TRUE
GBM	PFI.1	clinical	165	0	0	0	TRUE
GBM	PFI.time.1	clinical	165	0	0	0	TRUE
GBM	PFI.1.cr	clinical	165	0	0	0	TRUE
GBM	PFI.time.1.cr	clinical	165	0	0	0	TRUE
GBM	PFI.2	clinical	165	6	0.0363636363636364	0.0364	TRUE
GBM	PFI.time.2	clinical	165	6	0.0363636363636364	0.0364	TRUE
GBM	PFI.2.cr	clinical	165	6	0.0363636363636364	0.0364	TRUE
GBM	PFI.time.2.cr	clinical	165	6	0.0363636363636364	0.0364	TRUE
GBM	PFS	clinical	165	0	0	0	TRUE
GBM	PFS.time	clinical	165	0	0	0	TRUE
GBM	GBM-540.5.3.N.3.35.35.2.4.5	omic	165	0	0	0	TRUE
GBM	GBM-530.5.3.N.3.35.35.2.4.5	omic	165	0	0	0	TRUE
GBM	GBM-508.5.3.N.3.35.35.2.4.5	omic	165	0	0	0	TRUE
GBM	GBM-494.5.3.N.3.35.35.2.4.5	omic	165	0	0	0	TRUE
GBM	GBM-900.6.3.N.3.35.35.2.4.5	omic	165	0	0	0	TRUE
GBM	GBM-561.5.1.N.3.35.35.2.4.2	omic	165	0	0	0	TRUE
GBM	GBM-498.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-491.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-489.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-264.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-253.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-206.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-200.5.1.N.3.35.35.2.4.2	omic	165	0	0	0	TRUE
GBM	GBM-184.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-168.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-166.5.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-981.6.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-716.6.3.N.3.34.35.2.4.6	omic	165	0	0	0	TRUE
GBM	GBM-539.5.3.N.3.35.35.2.4.3	omic	165	0	0	0	TRUE
GBM	GBM-528.5.3.N.3.35.35.2.4.3	omic	165	0	0	0	TRUE
GBM	GBM-506.5.3.N.1.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-503.5.3.N.3.35.35.2.4.3	omic	165	0	0	0	TRUE
GBM	GBM-406.6.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
GBM	GBM-392.6.3.N.3.35.35.2.4.4	omic	165	0	0	0	TRUE
