df	cancer_type	metric	cindex	reason	baseline_cindex	cindex_r8	baseline_r8	delta_r8	category	df_num
df377.rds	ACC	DFI	0.853521126760563	OK	0.853521126760563	0.85352113	0.85352113	0	Unchanged	377
df377.rds	ACC	DSS	0.876190476190476	OK	0.876190476190476	0.87619048	0.87619048	0	Unchanged	377
df377.rds	ACC	OS	0.856417693981146	OK	0.856417693981146	0.85641769	0.85641769	0	Unchanged	377
df377.rds	ACC	PFI	0.824917413874469	OK	0.824917413874469	0.82491741	0.82491741	0	Unchanged	377
df155.rds	BLCA	DFI	1	OK	1	1	1	0	Unchanged	155
df155.rds	BLCA	DSS	1	OK	0.999945878659956	1	0.99994588	5.412000000004635e-5	Improved	155
df155.rds	BLCA	OS	0.999978796938278	OK	0.99975442043222	0.9999788	0.99975442	2.2437999999991298e-4	Improved	155
df155.rds	BLCA	PFI	0.999978324482497	OK	0.9999651105994	0.99997832	0.99996511	1.3209999999985733e-5	Improved	155
df008.rds	BRCA	DFI	1	OK	1	1	1	0	Unchanged	8
df008.rds	BRCA	DSS	1	OK	1	1	1	0	Unchanged	8
df008.rds	BRCA	OS	1	OK	1	1	1	0	Unchanged	8
df008.rds	BRCA	PFI	1	OK	1	1	1	0	Unchanged	8
df017.rds	CESC	DFI	1	OK	1	1	1	0	Unchanged	17
df017.rds	CESC	DSS	0.991348140495868	OK	0.991348140495868	0.99134814	0.99134814	0	Unchanged	17
df017.rds	CESC	OS	0.979048405408195	OK	0.979048405408195	0.97904841	0.97904841	0	Unchanged	17
df017.rds	CESC	PFI	0.985420240137221	OK	0.985420240137221	0.98542024	0.98542024	0	Unchanged	17
df377.rds	CHOL	DFI	0.908536585365854	OK	0.908536585365854	0.90853659	0.90853659	0	Unchanged	377
df377.rds	CHOL	DSS	0.82258064516129	OK	0.82258064516129	0.82258065	0.82258065	0	Unchanged	377
df377.rds	CHOL	OS	0.747340425531915	OK	0.747340425531915	0.74734042999999994	0.74734042999999994	0	Unchanged	377
df377.rds	CHOL	PFI	0.81941309255079	OK	0.81941309255079	0.81941309	0.81941309	0	Unchanged	377
df368.rds	COAD	DFI	1	OK	1	1	1	0	Unchanged	368
df368.rds	COAD	DSS	1	OK	1	1	1	0	Unchanged	368
df368.rds	COAD	OS	1	OK	1	1	1	0	Unchanged	368
df368.rds	COAD	PFI	1	OK	1	1	1	0	Unchanged	368
df017.rds	ESCA	DFI	1	OK	1	1	1	0	Unchanged	17
df017.rds	ESCA	DSS	0.980569049271339	OK	0.980569049271339	0.98056905	0.98056905	0	Unchanged	17
df017.rds	ESCA	OS	0.92482787691443	OK	0.92482787691443	0.92482788	0.92482788	0	Unchanged	17
df017.rds	ESCA	PFI	0.93840219014435	OK	0.93840219014435	0.93840219	0.93840219	0	Unchanged	17
df017.rds	HNSC	DFI	1	OK	1	1	1	0	Unchanged	17
df017.rds	HNSC	DSS	0.999973895792002	OK	0.999973895792002	0.9999739	0.9999739	0	Unchanged	17
df017.rds	HNSC	OS	0.999983951984337	OK	0.999983951984337	0.99998395	0.99998395	0	Unchanged	17
df017.rds	HNSC	PFI	0.999884107879009	OK	0.999884107879009	0.99988411	0.99988411	0	Unchanged	17
df377.rds	KICH	DFI	1	OK	1	1	1	0	Unchanged	377
df377.rds	KICH	DSS	1	OK	1	1	1	0	Unchanged	377
df377.rds	KICH	OS	1	OK	1	1	1	0	Unchanged	377
df377.rds	KICH	PFI	1	OK	1	1	1	0	Unchanged	377
df161.rds	KIRC	DFI	1	OK	1	1	1	0	Unchanged	161
df161.rds	KIRC	DSS	1	OK	0.999958933924685	1	0.99995893	4.10699999999764e-5	Improved	161
df161.rds	KIRC	OS	1	OK	0.999972806134936	1	0.99997281	2.718999999995475e-5	Improved	161
df161.rds	KIRC	PFI	1	OK	1	1	1	0	Unchanged	161
df377.rds	KIRP	DFI	1	OK	1	1	1	0	Unchanged	377
df377.rds	KIRP	DSS	1	OK	1	1	1	0	Unchanged	377
df377.rds	KIRP	OS	1	OK	1	1	1	0	Unchanged	377
df377.rds	KIRP	PFI	1	OK	1	1	1	0	Unchanged	377
df374.rds	LGG	DFI	1	OK	1	1	1	0	Unchanged	374
df374.rds	LGG	DSS	1	OK	1	1	1	0	Unchanged	374
