cohort	c1yr.cindex	c1yr_lo.ci_low	c1yr_hi.ci_high	c1yr_w.ci_width	c3yr.cindex	c3yr_lo.ci_low	c3yr_hi.ci_high	c3yr_w.ci_width	c5yr.cindex	c5yr_lo.ci_low	c5yr_hi.ci_high	c5yr_w.ci_width	n	n_events
ACC_DSS_df377	0.970634920634921	0.947482804638392	0.989354232056544	0.041871427418152	0.969047619047619	0.947233427636872	0.98683783368899	0.0396044060521181	0.946031746031746	0.913230135340841	0.972100026089981	0.0588698907491404	75	25
ACC_OS_df377	0.97897026831037	0.961247307915258	0.993191042016887	0.0319437341016292	0.976794778825236	0.961387101655113	0.991331690535761	0.0299445888806478	0.941986947063089	0.912601762913692	0.969993144578857	0.0573913816651654	77	27
ACC_PFI_df377	0.884379424256725	0.836432559031669	0.924652998284124	0.0882204392524557	0.884379424256725	0.839979053766403	0.924065271454512	0.084086217688109	0.884379424256725	0.837571540879237	0.92592057019411	0.0883490293148723	77	40
BLCA_DFI_df155	0.898026315789474	0.851972596396832	0.939222961035624	0.0872503646387917	0.898026315789474	0.85158948034628	0.939431801814777	0.087842321468497	0.898026315789474	0.849452404609218	0.939904145640771	0.0904517410315533	205	31
BLCA_DSS_df155	0.818541470702152	0.78525877837287	0.848568293911616	0.063309515538746	0.818541470702152	0.783376365731038	0.849201952619352	0.0658255868883144	0.818541470702152	0.78610661564784	0.846843026605947	0.0607364109581071	444	139
BLCA_OS_df155	0.803827583179703	0.773716085128964	0.830426520137187	0.056710435008223	0.803827583179703	0.774289719480588	0.832082058161068	0.0577923386804799	0.803827583179703	0.775755568625472	0.831800123814666	0.0560445551891938	463	210
BLCA_PFI_df155	0.794718448053526	0.767183035818965	0.823012698684373	0.0558296628654076	0.794718448053526	0.768169249121792	0.824124980356984	0.0559557312351924	0.794718448053526	0.765561757641183	0.825337550065648	0.0597757924244655	464	195
BRCA_DFI_df008	0.915669502168092	0.888695882592424	0.937983982781206	0.0492881001887817	0.915657654669099	0.891232411676014	0.936738257984044	0.0455058463080299	0.915657654669099	0.890312386550918	0.937721955245575	0.047409568694657	961	84
BRCA_DSS_df008	0.914330294017261	0.888173406260518	0.937868747021504	0.0496953407609858	0.914330294017261	0.884556412129078	0.937303309928747	0.0527468977996689	0.914330294017261	0.886793438786289	0.938291908087289	0.051498469301	1089	89
BRCA_OS_df008	0.880364743438165	0.856592669526228	0.900814032136569	0.0442213626103414	0.880364743438165	0.855910659225861	0.901299152410659	0.045388493184798	0.880364743438165	0.856498525321039	0.902293956702413	0.0457954313813744	1111	160
BRCA_PFI_df008	0.875946183522977	0.853822563962978	0.89606718331764	0.0422446193546622	0.875946183522977	0.854650127533662	0.897546283466879	0.0428961559332171	0.875946183522977	0.853368246990251	0.896581434578083	0.0432131875878317	1111	151
CESC_DFI_df017	0.992211838006231	0.985098361909679	0.997815290434607	0.0127169285249277	0.972741433021807	0.960945760077115	0.985188380063271	0.0242426199861561	0.970093457943925	0.95622654692503	0.984309682628314	0.0280831357032847	174	26
CESC_DSS_df017	0.858828357443316	0.818793125366124	0.893318501424716	0.0745253760585924	0.858828357443316	0.81940881005238	0.892979435572358	0.0735706255199773	0.858828357443316	0.82093026708875	0.894415950052503	0.0734856829637529	306	57
CESC_OS_df017	0.838698803303556	0.792771657179408	0.877843173505937	0.0850715163265292	0.838698803303556	0.795284083244131	0.877517624611841	0.0822335413677094	0.838698803303556	0.79644303369232	0.878096523979373	0.0816534902870523	310	74
CESC_PFI_df017	0.813133820296433	0.769609688801364	0.85473944694206	0.0851297581406963	0.813133820296433	0.772510192623865	0.856177123454918	0.0836669308310531	0.813133820296433	0.772446012451346	0.855166217564217	0.082720205112871	310	74
COAD_DSS_df368	0.884733193615992	0.830586340254682	0.926680913176876	0.0960945729221936	0.884733193615992	0.838289043077498	0.926443418452652	0.0881543753751539	0.884733193615992	0.837268609457306	0.92928707607118	0.0920184666138739	277	36
COAD_OS_df368	0.838585434173669	0.791517241297557	0.879420972639506	0.0879037313419488	0.838585434173669	0.79537004483548	0.880122328786735	0.0847522839512549	0.838585434173669	0.795812935982836	0.879037206002037	0.0832242700192006	292	69
COAD_PFI_df368	0.823932073981439	0.785443998842767	0.86251297400717	0.0770689751644038	0.823932073981439	0.785706490838729	0.860611097252022	0.0749046064132933	0.823932073981439	0.787781535716758	0.859794604195972	0.0720130684792133	292	86
ESCA_DFI_df017	0.952718676122931	0.927318405770241	0.979041916167665	0.051723510397424	0.882978723404255	0.840905340534053	0.925572583644083	0.0846672431100293	0.882978723404255	0.842153266685441	0.926499658060724	0.0843463913752832	86	22
ESCA_DSS_df017	0.954828347721341	0.937378177831555	0.970363043792572	0.0329848659610167	0.953222244529211	0.936939962600527	0.967831126548708	0.0308911639481801	0.939570367396105	0.921042116194841	0.957365772188754	0.0363236559939121	182	53
ESCA_OS_df017	0.942581300813008	0.927348281042412	0.957282085231636	0.029933804189224	0.930894308943089	0.914056659031222	0.947359430360656	0.0333027713294343	0.898056402439024	0.875540993030107	0.920771829622152	0.0452308365920451	184	79
ESCA_PFI_df017	0.925753670290261	0.900621930670874	0.949447696510981	0.0488257658401067	NA	NA	NA	NA	NA	NA	NA	NA	184	88
GBM_DSS_df017	0.933155080213904	0.908864301754748	0.953610115102568	0.04474581334782	NA	NA	NA	NA	NA	NA	NA	NA	165	127
GBM_OS_df017	0.920752042688011	0.892558526429157	0.944468650781858	0.0519101243527013	NA	NA	NA	NA	NA	NA	NA	NA	177	142
GBM_PFI_df017	0.852758382567329	0.826513015050656	0.878290646226168	0.0517776311755123	0.846006291721016	0.821225583972407	0.871530433075067	0.05030484910266	NA	NA	NA	NA	177	144
HNSC_DFI_df017	NA	NA	NA	NA	0.957387495021904	0.938824346790166	0.975774086900064	0.0369497401098983	0.91915571485464	0.89002372224999	0.949906425234947	0.0598827029849577	128	28
HNSC_DSS_df017	0.98568162398097	0.981877872385032	0.989465382475232	0.00758751009019998	0.940174591810813	0.926958648553055	0.953100706383616	0.0261420578305612	0.907854322071084	0.89171465232816	0.923668120588248	0.0319534682600872	497	133
HNSC_OS_df017	0.978605310429999	0.972795933018021	0.983716919676281	0.0109209866582596	0.899804928707758	0.884284426771402	0.915681425164546	0.0313969983931445	0.863864095655103	0.845810910201305	0.881101210797594	0.0352903005962892	523	223
HNSC_PFI_df017	0.969839663190013	0.963667120658993	0.975340314527164	0.0116731938681716	0.921269198609339	0.906708823649175	0.934204764176236	0.0274959405270605	0.893089234109346	0.876052619566109	0.908102585347302	0.0320499657811936	523	200
KIRC_DFI_df161	0.917890320647288	0.878428900061914	0.949175216028465	0.0707463159665509	0.917890320647288	0.877838130497742	0.951258488974999	0.0734203584772565	0.917890320647288	0.882801614569846	0.947640347184514	0.0648387326146677	164	36
KIRC_DSS_df161	0.867244846656611	0.845610918015075	0.887877142262859	0.0422662242477844	0.867244846656611	0.846792418733544	0.886815184067798	0.0400227653342536	0.867244846656611	0.845526313859456	0.888618985648176	0.0430926717887199	729	159
KIRC_OS_df161	0.818542658978858	0.794531312477729	0.840973961125694	0.0464426486479648	0.818542658978858	0.794543493745716	0.840826785768254	0.0462832920225378	0.818542658978858	0.796331470234743	0.840697599672476	0.0443661294377337	749	254
KIRC_PFI_df161	0.831403264299329	0.808359513103171	0.850975174697237	0.0426156615940665	0.831403264299329	0.810270103669992	0.853255246083279	0.0429851424132873	0.831403264299329	0.809512104376628	0.852522367925762	0.0430102635491336	747	260
KIRP_DFI_df377	0.905575791538246	0.849490079463252	0.952455868575192	0.10296578911194	0.905575791538246	0.847868533335401	0.952730641467427	0.104862108132026	0.905575791538246	0.85154327853485	0.951971691210789	0.100428412675938	184	30
KIRP_DSS_df377	0.964285714285714	0.944902787748265	0.981585837949589	0.0366830502013241	0.964285714285714	0.943639458421561	0.982518637988294	0.0388791795667329	0.964285714285714	0.944312613673778	0.982148562052663	0.0378359483788854	286	28
KIRP_OS_df377	0.931136835856337	0.903531582783224	0.955409365565124	0.0518777827819008	0.931136835856337	0.905281131111507	0.95391522861143	0.0486340974999228	0.931136835856337	0.90499380849681	0.956367909001437	0.0513741005046269	290	44
KIRP_PFI_df377	0.912633451957295	0.882195730359205	0.938266881805815	0.0560711514466106	0.912633451957295	0.884803816611047	0.937696254527626	0.0528924379165789	0.912633451957295	0.88318193698429	0.939449540951302	0.0562676039670119	289	59
LAML_OS_df377	0.716567683800942	0.669495735897212	0.763045192374865	0.093549456477653	0.716567683800942	0.667163247740075	0.766096391618511	0.098933143878436	0.716567683800942	0.665060845222141	0.761761243837575	0.0967003986154339	161	104
LGG_DFI_df374	0.892037127503664	0.845701530159406	0.935176851965476	0.08947532180607	0.892037127503664	0.839432847082495	0.936357674087268	0.0969248270047735	0.892037127503664	0.84481547931255	0.937707414895401	0.0928919355828516	142	29
LGG_DSS_df374	0.918387875536481	0.901126583408444	0.935419162727076	0.0342925793186313	0.918387875536481	0.897640652753577	0.934991397318174	0.0373507445645967	0.918387875536481	0.899435073521253	0.935761464584821	0.0363263910635679	537	127
LGG_OS_df374	0.911297824456114	0.892809842153028	0.929222214190347	0.0364123720373187	0.911297824456114	0.891921265667533	0.928011447409807	0.0360901817422735	0.911297824456114	0.891768821205766	0.927130335144905	0.035361513939139	545	142
LGG_PFI_df374	0.837464788732394	0.813477394821144	0.859958711798414	0.0464813169772699	0.837464788732394	0.813077767273466	0.859071134000491	0.045993366727025	0.837441314553991	0.814621288013359	0.858822052169068	0.0442007641557091	545	227
LIHC_DFI_df160	0.783054718727233	0.751929973852783	0.81307123329825	0.0611412594454669	0.783054718727233	0.751642728383339	0.811797228352547	0.0601544999692082	0.783084253844488	0.752122697478821	0.812559873896938	0.0604371764181177	437	211
LIHC_DSS_df160	0.854707688371498	0.826422987438185	0.880837261922842	0.0544142744846561	0.854675706792887	0.82549370207129	0.881634522286745	0.0561408202154545	0.854611743635666	0.826823244913471	0.881065755397363	0.0542425104838917	507	132
LIHC_OS_df160	0.801994039389191	0.778125160021918	0.823952693440656	0.0458275334187379	0.801994039389191	0.775385464595073	0.824185062000382	0.0487995974053088	0.801994039389191	0.77854926322722	0.826246861502254	0.0476975982750334	524	230
LIHC_PFI_df160	0.785329636639919	0.759596951990243	0.810553097734763	0.0509561457445205	0.785342966063288	0.75868320894551	0.812083160846189	0.0533999519006789	0.785356295486657	0.756287006707526	0.814049481160011	0.0577624744524844	524	269
LUAD_DFI_df017	0.873746904116051	0.843758391863935	0.902056314585741	0.0582979227218061	0.873746904116051	0.842221685910568	0.902268890300411	0.0600472043898427	0.873746904116051	0.844827583920178	0.90292056693464	0.0580929830144624	303	92
