cohort	n	n_events	cal_slope	cal_se	cal_intercept	brier_1yr	brier_3yr	brier_5yr	ibs
ACC_DSS_df377	75	25	1.2262	0.206	0.985	0.021215	0.036009	0.058926	0.05563
ACC_OS_df377	77	27	1.3341	0.2356	NA	0.017836	0.029625	0.067078	0.063548
ACC_PFI_df377	77	40	1	0.1343	1.0292	0.081425	0.124817	0.117425	0.114975
BLCA_DFI_df155	205	31	1.001	0.1257	0.8753	0.047792	0.2091	0.358463	0.17578
BLCA_DSS_df155	444	139	0.9932	0.0766	0.8635	0.104578	0.337528	0.412191	0.269197
BLCA_OS_df155	463	210	0.9819	0.0661	0.9361	0.123042	0.261617	0.290945	0.232108
BLCA_PFI_df155	464	195	1.007	0.0708	0.872	0.168969	0.30536	0.344368	0.266761
BRCA_DFI_df008	961	84	1.011	0.0671	0.9914	0.017128	0.102487	0.282894	0.108521
BRCA_DSS_df008	1089	89	0.9955	0.067	0.8481	0.012471	0.104789	0.218518	0.085722
BRCA_OS_df008	1111	160	1.0025	0.0579	0.8745	0.020858	0.139047	0.318936	0.122073
BRCA_PFI_df008	1111	151	1.0078	0.0596	0.8687	0.030018	0.167389	0.34174	0.149012
CESC_DFI_df017	174	26	1.9114	0.366	NA	0.004525	0.011741	0.007997	0.032504
CESC_DSS_df017	306	57	0.9818	0.0984	0.8104	0.055698	0.276047	0.356463	0.201147
CESC_OS_df017	310	74	0.9782	0.0957	0.785	0.067915	0.2872	0.373819	0.216021
CESC_PFI_df017	310	74	0.9874	0.1033	0.8485	0.104839	0.293901	0.366119	0.233445
COAD_DSS_df368	277	36	1.0052	0.117	0.8849	0.050921	0.220009	0.440108	0.194203
COAD_OS_df368	292	69	1.0023	0.112	0.8941	0.078181	0.308594	0.54954	0.264848
COAD_PFI_df368	292	86	1.0039	0.1034	0.874	0.110014	0.378064	0.490628	0.293467
ESCA_DFI_df017	86	22	8.5436	3134.7023	NA	0.002749	0.01891	0.020423	0.059485
ESCA_DSS_df017	182	53	1.0487	0.0973	1.0585	0.066966	0.181414	0.316013	0.243266
ESCA_OS_df017	184	79	1.0691	0.0923	0.9231	0.063316	0.147515	0.046794	0.186558
ESCA_PFI_df017	184	88	1.629	0.2917	NA	0.011877	0.603069	0.614202	0.538996
GBM_DSS_df017	165	127	1.3831	0.1581	0.9931	0.029268	0.148276	0.029655	0.201995
GBM_OS_df017	177	142	1.539	0.2167	0.9908	0.004819	0.127239	0.025448	0.189983
GBM_PFI_df017	177	144	1.0509	0.0865	0.8978	0.116663	0.047948	NA	0.150528
HNSC_DFI_df017	128	28	NA	0	NA	0.157859	0.005906	0.024016	0.0727
HNSC_DSS_df017	497	133	1.297	0.0988	NA	0.010249	0.012186	0.053604	0.073477
HNSC_OS_df017	523	223	1.4934	0.1038	0.9899	0.004983	0.011278	0.031873	0.084643
HNSC_PFI_df017	523	200	1.1677	0.0705	1.0058	0.022308	0.020814	0.073143	0.077999
KIRC_DFI_df161	164	36	0.9876	0.1177	1.0826	0.034625	0.119864	0.144947	0.090369
KIRC_DSS_df161	729	159	1.0117	0.0579	0.9523	0.062629	0.168915	0.238302	0.133736
KIRC_OS_df161	749	254	1.0334	0.0565	1.0059	0.081908	0.185504	0.250003	0.152428
KIRC_PFI_df161	747	260	0.9887	0.0522	0.9968	0.122597	0.201844	0.242914	0.170939
KIRP_DFI_df377	184	30	0.9531	0.1144	1.2099	0.059255	0.133043	0.264708	0.138872
KIRP_DSS_df377	286	28	1.0024	0.1225	0.8062	0.035626	0.074451	0.115837	0.069038
KIRP_OS_df377	290	44	1.0038	0.0952	0.7792	0.03519	0.125478	0.288449	0.12239
KIRP_PFI_df377	289	59	0.9774	0.0857	0.8959	0.066076	0.200865	0.315319	0.175271
LAML_OS_df377	161	104	1	0.1358	0.944	0.200509	0.214083	0.213449	0.224484
LGG_DFI_df374	142	29	1.0172	0.1278	0.7931	0.026527	0.232744	0.354776	0.219945
LGG_DSS_df374	537	127	1.0115	0.069	0.8697	0.043759	0.157157	0.36584	0.180359
LGG_OS_df374	545	142	0.9865	0.0646	0.8502	0.04206	0.161925	0.382291	0.186835
LGG_PFI_df374	545	227	0.9646	0.0562	0.881	0.116474	0.27536	0.312329	0.223476
LIHC_DFI_df160	437	211	1.0249	0.0733	0.8086	0.165607	0.307063	0.285466	0.267679
LIHC_DSS_df160	507	132	1.0176	0.075	0.827	0.064172	0.284056	0.437337	0.23252
LIHC_OS_df160	524	230	0.9811	0.0677	1.0026	0.122607	0.300205	0.299564	0.227366
LIHC_PFI_df160	524	269	1.0644	0.0662	0.7953	0.180008	0.281738	0.238633	0.256806
LUAD_DFI_df017	303	92	0.9927	0.082	0.9216	0.06763	0.201604	0.315036	0.182878
LUAD_DSS_df017	475	112	1.0036	0.0817	0.8686	0.058276	0.355677	0.51674	0.278215
LUAD_OS_df017	510	183	1.0062	0.0621	0.9325	0.078578	0.275018	0.305381	0.222373
LUAD_PFI_df017	510	212	0.9945	0.077	0.876	0.132145	0.340556	0.383839	0.288746
LUSC_DFI_df147	373	84	NA	0	NA	0.079733	0.019458	0.011436	0.072248
