cohort	n	n_events	c_mvl_obs	c_mvl_null_med	c_mvl_null_lo	c_mvl_null_hi	p_mvl	c_xgb_obs	c_xgb_null_med	c_xgb_null_lo	c_xgb_null_hi	p_xgb
ACC_DSS_df377	75	25	0.970634920634921	0.494784555341602	0.356189279530589	0.624624930923137	0	0.984126984126984	0.494951279107421	0.355840878604963	0.624576581981001	0
ACC_OS_df377	77	27	0.97897026831037	0.500523086077083	0.371358931747281	0.626487560833303	0	0.989122552574329	0.50096468401487	0.371830260107231	0.623149060121174	0
ACC_PFI_df377	77	40	0.884379424256725	0.495980291852889	0.3901497613151	0.602338897515528	0	0.974516281264748	0.497563653629295	0.387564797118495	0.604650552316596	0
BLCA_DFI_df155	205	31	0.898026315789474	0.500169143399094	0.390053474162504	0.617933851392169	0	0.999725877192982	0.502368115737263	0.384438215299715	0.616927653749263	0
BLCA_DSS_df155	444	139	0.818541470702152	0.501203955892841	0.443167250395073	0.561642655491713	0	0.999391357273281	0.4997447859542	0.444437682491515	0.555508339747489	0
BLCA_OS_df155	463	210	0.803827583179703	0.500804553565793	0.45756165943223	0.546919779361692	0	0.998033535247125	0.501133605934988	0.454441276381315	0.54732332776429	0
BLCA_PFI_df155	464	195	0.794718448053526	0.501261595498757	0.45354366109219	0.544688047437273	0	0.998617003382735	0.498544432436581	0.452283068303273	0.546617404771763	0
BRCA_DFI_df008	961	84	0.915669502168092	0.500939257816241	0.428887609817273	0.571410801842366	0	0.999123285074521	0.498632539186855	0.418923229451761	0.568321213498703	0
BRCA_DSS_df008	1089	89	0.914330294017261	0.50179386771337	0.434235693711131	0.569272690574999	0	0.999037008142767	0.502009583800173	0.432977469483209	0.574798830876338	0
BRCA_OS_df008	1111	160	0.880364743438165	0.50140436166552	0.446272545060321	0.556544625668211	0	0.997494975171435	0.500139208329982	0.448198507240737	0.552018818203405	0
BRCA_PFI_df008	1111	151	0.875946183522977	0.500074440043309	0.450751442903209	0.550469699894439	0	0.998199199101431	0.500292687604484	0.447696480957715	0.552122085028533	0
CESC_DFI_df017	174	26	0.992211838006231	0.497053828290181	0.368204508188839	0.625527266258826	0	1	0.499009031242104	0.375633142769931	0.627573335350259	0
CESC_DSS_df017	306	57	0.858828357443316	0.495933713148642	0.409056861824476	0.586542875765133	0	0.999794808659075	0.495157507751263	0.4159957947473	0.583654707469247	0
CESC_OS_df017	310	74	0.838698803303556	0.500858599060985	0.421528987404989	0.579690160790988	0	0.999831451205124	0.498504945369438	0.421001352905829	0.576555860179947	0
CESC_PFI_df017	310	74	0.813133820296433	0.501972365161827	0.421093840063025	0.57863818772232	0	0.999574498262535	0.500669707975167	0.420281576077726	0.583676895405717	0
COAD_DSS_df368	277	36	0.884733193615992	0.500227181026726	0.390665765000486	0.613716891255653	0	1	0.49833665951611	0.393730304985076	0.607983927098024	0
COAD_OS_df368	292	69	0.838585434173669	0.4957398351393	0.422912962323497	0.579650713092695	0	0.999912464985994	0.4991050260918	0.418925125983445	0.58182407210995	0
COAD_PFI_df368	292	86	0.823932073981439	0.500853378852167	0.429456005684118	0.56974832161061	0	0.996774830514052	0.504212777512781	0.429538054002182	0.573656508252553	0
ESCA_DFI_df017	86	22	0.952718676122931	0.495465749204067	0.368872048527214	0.631313120494453	0	1	0.496880253548298	0.355651058174579	0.63490845081132	0
ESCA_DSS_df017	182	53	0.954828347721341	0.498989470419455	0.410921651586092	0.587299288008978	0	0.998795422605902	0.499658892369442	0.410289899369886	0.587111636685531	0
ESCA_OS_df017	184	79	0.942581300813008	0.499932094799951	0.422539440721864	0.575655135901906	0	0.999491869918699	0.499121057600416	0.423003734333461	0.574098879121901	0
ESCA_PFI_df017	184	88	0.925753670290261	0.500925230965817	0.435957688953619	0.568658454374676	0	0.999551720273451	0.50070828198529	0.43385927979961	0.570044303293642	0
GBM_DSS_df017	165	127	0.933155080213904	0.497824344408082	0.442641636272506	0.558794980586966	0	0.998663101604278	0.49836108721631	0.442533691013485	0.560437112076073	0
