Stratum	Cancer	Endpoint	df	N	N_events	Cox_Converged	Schoenfeld_Global_p	Schoenfeld_Global_chisq	Significant_Covariates	CANARY_Status
ACC_DFI	ACC	DFI	df377.rds	44	11	TRUE	0.335491796795124	7.967236892411	0	INELIGIBLE__INSUFFICIENT_SURVIVAL_INFORMATION
ACC_DSS	ACC	DSS	df377.rds	75	25	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
ACC_OS	ACC	OS	df377.rds	77	27	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
ACC_PFI	ACC	PFI	df377.rds	77	40	TRUE	0.0151956487174346	27.7842054052418	6	ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BLCA_DFI	BLCA	DFI	df155.rds	193	31	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BLCA_DSS	BLCA	DSS	df155.rds	410	127	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BLCA_OS	BLCA	OS	df155.rds	425	188	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BLCA_PFI	BLCA	PFI	df155.rds	426	181	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BRCA_DFI	BRCA	DFI	df008.rds	951	84	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BRCA_DSS	BRCA	DSS	df008.rds	1077	85	TRUE			0	ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BRCA_OS	BRCA	OS	df008.rds	1097	154	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
BRCA_PFI	BRCA	PFI	df008.rds	1097	147	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
CESC_DFI	CESC	DFI	df017.rds	174	26	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
CESC_DSS	CESC	DSS	df017.rds	302	55	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
CESC_OS	CESC	OS	df017.rds	306	72	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
CESC_PFI	CESC	PFI	df017.rds	306	72	TRUE				ELIGIBLE_NONCOX__GEOMETRY_MU_EXHAUSTED
CHOL_DFI	CHOL	DFI	df377.rds	32	12	TRUE	0.474111158425939	4.54329905891342	0	INELIGIBLE__INSUFFICIENT_SURVIVAL_INFORMATION
CHOL_DSS	CHOL	DSS	df377.rds	43	20	TRUE	0.237899345560722	8.00278492893833	1	INELIGIBLE__INSUFFICIENT_SURVIVAL_INFORMATION
