cohort	model	param	value
ACC_DSS_df377	XGBoost	objective	survival:cox
ACC_DSS_df377	XGBoost	eval_metric	cox-nloglik
ACC_DSS_df377	XGBoost	eta	0.05
ACC_DSS_df377	XGBoost	max_depth	4
ACC_DSS_df377	XGBoost	min_child_weight	3
ACC_DSS_df377	XGBoost	subsample	0.8
ACC_DSS_df377	XGBoost	nthread	1
ACC_DSS_df377	XGBoost	validate_parameters	TRUE
ACC_DSS_df377	XGBoost	nrounds	500
ACC_DSS_df377	RSF	ntree	1000
ACC_DSS_df377	RSF	mtry	5
ACC_DSS_df377	RSF	nodesize	15
ACC_DSS_df377	MTLR	nintervals	default
ACC_DSS_df377	MTLR	regularization	C1=100
ACC_DSS_df377	MVL	weight_XGBoost	2.751979
ACC_DSS_df377	MVL	weight_RSF	0.27455
ACC_DSS_df377	MVL	weight_MTLR	0.094062
ACC_DSS_df377	MVL	weight_Boruta	0
ACC_OS_df377	XGBoost	objective	survival:cox
ACC_OS_df377	XGBoost	eval_metric	cox-nloglik
ACC_OS_df377	XGBoost	eta	0.05
ACC_OS_df377	XGBoost	max_depth	4
ACC_OS_df377	XGBoost	min_child_weight	3
ACC_OS_df377	XGBoost	subsample	0.8
ACC_OS_df377	XGBoost	nthread	1
ACC_OS_df377	XGBoost	validate_parameters	TRUE
ACC_OS_df377	XGBoost	nrounds	500
ACC_OS_df377	RSF	ntree	1000
ACC_OS_df377	RSF	mtry	5
ACC_OS_df377	RSF	nodesize	15
ACC_OS_df377	MTLR	nintervals	default
ACC_OS_df377	MTLR	regularization	C1=100
ACC_OS_df377	MVL	weight_XGBoost	3.70077
ACC_OS_df377	MVL	weight_RSF	0.341528
ACC_OS_df377	MVL	weight_MTLR	0.044572
ACC_OS_df377	MVL	weight_Boruta	0.015211
ACC_PFI_df377	XGBoost	objective	survival:cox
ACC_PFI_df377	XGBoost	eval_metric	cox-nloglik
ACC_PFI_df377	XGBoost	eta	0.05
ACC_PFI_df377	XGBoost	max_depth	4
ACC_PFI_df377	XGBoost	min_child_weight	3
ACC_PFI_df377	XGBoost	subsample	0.8
ACC_PFI_df377	XGBoost	nthread	1
ACC_PFI_df377	XGBoost	validate_parameters	TRUE
ACC_PFI_df377	XGBoost	nrounds	500
ACC_PFI_df377	RSF	ntree	1000
ACC_PFI_df377	RSF	mtry	5
ACC_PFI_df377	RSF	nodesize	15
ACC_PFI_df377	MTLR	nintervals	default
ACC_PFI_df377	MTLR	regularization	C1=1
ACC_PFI_df377	MVL	weight_XGBoost	0.750381
ACC_PFI_df377	MVL	weight_MTLR	0.35289
ACC_PFI_df377	MVL	weight_RSF	0.170865
ACC_PFI_df377	MVL	weight_Boruta	0
BLCA_DFI_df155	XGBoost	objective	survival:cox
BLCA_DFI_df155	XGBoost	eval_metric	cox-nloglik
BLCA_DFI_df155	XGBoost	eta	0.05
BLCA_DFI_df155	XGBoost	max_depth	4
BLCA_DFI_df155	XGBoost	min_child_weight	3
BLCA_DFI_df155	XGBoost	subsample	0.8
BLCA_DFI_df155	XGBoost	nthread	1
BLCA_DFI_df155	XGBoost	validate_parameters	TRUE
BLCA_DFI_df155	XGBoost	nrounds	500
BLCA_DFI_df155	RSF	ntree	1000
BLCA_DFI_df155	RSF	mtry	24
BLCA_DFI_df155	RSF	nodesize	15
BLCA_DFI_df155	MTLR	nintervals	default
BLCA_DFI_df155	MTLR	regularization	C1=0.01
BLCA_DFI_df155	MVL	weight_RSF	0.25
BLCA_DFI_df155	MVL	weight_XGBoost	0.25
BLCA_DFI_df155	MVL	weight_MTLR	0.25
BLCA_DFI_df155	MVL	weight_Boruta	0.25
BLCA_DSS_df155	XGBoost	objective	survival:cox
BLCA_DSS_df155	XGBoost	eval_metric	cox-nloglik
BLCA_DSS_df155	XGBoost	eta	0.05
BLCA_DSS_df155	XGBoost	max_depth	4
BLCA_DSS_df155	XGBoost	min_child_weight	3
BLCA_DSS_df155	XGBoost	subsample	0.8
BLCA_DSS_df155	XGBoost	nthread	1
BLCA_DSS_df155	XGBoost	validate_parameters	TRUE
BLCA_DSS_df155	XGBoost	nrounds	500
BLCA_DSS_df155	RSF	ntree	1000
BLCA_DSS_df155	RSF	mtry	24
BLCA_DSS_df155	RSF	nodesize	15
BLCA_DSS_df155	MTLR	nintervals	default
BLCA_DSS_df155	MTLR	regularization	C1=1
BLCA_DSS_df155	MVL	weight_RSF	0.25
BLCA_DSS_df155	MVL	weight_XGBoost	0.25
BLCA_DSS_df155	MVL	weight_MTLR	0.25
BLCA_DSS_df155	MVL	weight_Boruta	0.25
BLCA_OS_df155	XGBoost	objective	survival:cox
BLCA_OS_df155	XGBoost	eval_metric	cox-nloglik
BLCA_OS_df155	XGBoost	eta	0.05
BLCA_OS_df155	XGBoost	max_depth	4
BLCA_OS_df155	XGBoost	min_child_weight	3
BLCA_OS_df155	XGBoost	subsample	0.8
BLCA_OS_df155	XGBoost	nthread	1
BLCA_OS_df155	XGBoost	validate_parameters	TRUE
BLCA_OS_df155	XGBoost	nrounds	500
BLCA_OS_df155	RSF	ntree	1000
BLCA_OS_df155	RSF	mtry	24
BLCA_OS_df155	RSF	nodesize	15
BLCA_OS_df155	MTLR	nintervals	default
BLCA_OS_df155	MTLR	regularization	C1=0.1
BLCA_OS_df155	MVL	weight_RSF	0.25
BLCA_OS_df155	MVL	weight_XGBoost	0.25
BLCA_OS_df155	MVL	weight_MTLR	0.25
BLCA_OS_df155	MVL	weight_Boruta	0.25
BLCA_PFI_df155	XGBoost	objective	survival:cox
BLCA_PFI_df155	XGBoost	eval_metric	cox-nloglik
BLCA_PFI_df155	XGBoost	eta	0.05
BLCA_PFI_df155	XGBoost	max_depth	4
BLCA_PFI_df155	XGBoost	min_child_weight	3
BLCA_PFI_df155	XGBoost	subsample	0.8
BLCA_PFI_df155	XGBoost	nthread	1
BLCA_PFI_df155	XGBoost	validate_parameters	TRUE
BLCA_PFI_df155	XGBoost	nrounds	500
BLCA_PFI_df155	RSF	ntree	1000
BLCA_PFI_df155	RSF	mtry	24
BLCA_PFI_df155	RSF	nodesize	15
BLCA_PFI_df155	MTLR	nintervals	default
BLCA_PFI_df155	MTLR	regularization	C1=1
BLCA_PFI_df155	MVL	weight_RSF	0.25
BLCA_PFI_df155	MVL	weight_XGBoost	0.25
BLCA_PFI_df155	MVL	weight_MTLR	0.25
BLCA_PFI_df155	MVL	weight_Boruta	0.25
BRCA_DFI_df008	XGBoost	objective	survival:cox
BRCA_DFI_df008	XGBoost	eval_metric	cox-nloglik
BRCA_DFI_df008	XGBoost	eta	0.05
BRCA_DFI_df008	XGBoost	max_depth	4
BRCA_DFI_df008	XGBoost	min_child_weight	3
BRCA_DFI_df008	XGBoost	subsample	0.8
BRCA_DFI_df008	XGBoost	nthread	1
BRCA_DFI_df008	XGBoost	validate_parameters	TRUE
BRCA_DFI_df008	XGBoost	nrounds	500
BRCA_DFI_df008	RSF	ntree	1000
BRCA_DFI_df008	RSF	mtry	31
BRCA_DFI_df008	RSF	nodesize	15
BRCA_DFI_df008	MTLR	nintervals	default
BRCA_DFI_df008	MTLR	regularization	C1=10
BRCA_DFI_df008	MVL	weight_RSF	0.25
BRCA_DFI_df008	MVL	weight_XGBoost	0.25
BRCA_DFI_df008	MVL	weight_MTLR	0.25
BRCA_DFI_df008	MVL	weight_Boruta	0.25
BRCA_DSS_df008	XGBoost	objective	survival:cox
BRCA_DSS_df008	XGBoost	eval_metric	cox-nloglik
BRCA_DSS_df008	XGBoost	eta	0.05
BRCA_DSS_df008	XGBoost	max_depth	4
BRCA_DSS_df008	XGBoost	min_child_weight	3
BRCA_DSS_df008	XGBoost	subsample	0.8
BRCA_DSS_df008	XGBoost	nthread	1
BRCA_DSS_df008	XGBoost	validate_parameters	TRUE
BRCA_DSS_df008	XGBoost	nrounds	500
BRCA_DSS_df008	RSF	ntree	1000
BRCA_DSS_df008	RSF	mtry	31
BRCA_DSS_df008	RSF	nodesize	15
BRCA_DSS_df008	MTLR	nintervals	default
BRCA_DSS_df008	MTLR	regularization	C1=1
BRCA_DSS_df008	MVL	weight_RSF	0.25
BRCA_DSS_df008	MVL	weight_XGBoost	0.25
BRCA_DSS_df008	MVL	weight_MTLR	0.25
BRCA_DSS_df008	MVL	weight_Boruta	0.25
BRCA_OS_df008	XGBoost	objective	survival:cox
BRCA_OS_df008	XGBoost	eval_metric	cox-nloglik
BRCA_OS_df008	XGBoost	eta	0.05
BRCA_OS_df008	XGBoost	max_depth	4
BRCA_OS_df008	XGBoost	min_child_weight	3
BRCA_OS_df008	XGBoost	subsample	0.8
BRCA_OS_df008	XGBoost	nthread	1
BRCA_OS_df008	XGBoost	validate_parameters	TRUE
BRCA_OS_df008	XGBoost	nrounds	500
BRCA_OS_df008	RSF	ntree	1000
BRCA_OS_df008	RSF	mtry	31
BRCA_OS_df008	RSF	nodesize	15
BRCA_OS_df008	MTLR	nintervals	default
BRCA_OS_df008	MTLR	regularization	C1=0.1
BRCA_OS_df008	MVL	weight_RSF	0.25
BRCA_OS_df008	MVL	weight_XGBoost	0.25
BRCA_OS_df008	MVL	weight_MTLR	0.25
BRCA_OS_df008	MVL	weight_Boruta	0.25
BRCA_PFI_df008	XGBoost	objective	survival:cox
BRCA_PFI_df008	XGBoost	eval_metric	cox-nloglik
BRCA_PFI_df008	XGBoost	eta	0.05
BRCA_PFI_df008	XGBoost	max_depth	4
BRCA_PFI_df008	XGBoost	min_child_weight	3
BRCA_PFI_df008	XGBoost	subsample	0.8
