Entrez ID;Gene symbol;Present in Signature dB;CAR Matched gene;RCDdb Matched gene;COSMIC Driver;COSMIC Tier;Category Search;RCD count;RCD form;Description;Summary;Other aliases;Chromosome;Start;End;Map location;RCDdb match gene
29974;A1CF;Yes;No;No;no driver gene;0;cancer;1;Apoptosis;APOBEC1 complementation factor;Mammalian apolipoprotein B mRNA undergoes site-specific C to U deamination, which is mediated by a multi-component enzyme complex containing a minimal core composed of APOBEC-1 and a complementation factor encoded by this gene. The gene product has three non-identical RNA recognition motifs and belongs to the hnRNP R family of RNA-binding proteins. It has been proposed that this complementation factor functions as an RNA-binding subunit and docks APOBEC-1 to deaminate the upstream cytidine. Studies suggest that the protein may also be involved in other RNA editing or RNA processing events. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Nov 2010];ACF, ACF64, ACF65, APOBEC1CF, ASP;10;50885626;50799408;10q11.23;No
2;A2M;Yes;No;No;no driver gene;0;cancer;2;Apoptosis/Necrosis;alpha-2-macroglobulin;The protein encoded by this gene is a protease inhibitor and cytokine transporter. It uses a bait-and-trap mechanism to inhibit a broad spectrum of proteases, including trypsin, thrombin and collagenase. It can also inhibit inflammatory cytokines, and it thus disrupts inflammatory cascades. Mutations in this gene are a cause of alpha-2-macroglobulin deficiency. This gene is implicated in Alzheimer's disease (AD) due to its ability to mediate the clearance and degradation of A-beta, the major component of beta-amyloid deposits. A related pseudogene, which is also located on the p arm of chromosome 12, has been identified. [provided by RefSeq, Nov 2016];A2MD, CPAMD5, FWP007, S863-7;12;9116228;9067707;12p13.31;No
144571;A2M-AS1;Yes;No;Yes;no driver gene;0;cancer;1;Ferroptosis;A2M antisense RNA 1;no summary available;;12;9065176;9068054;12p13.31;Yes
284837;AATBC;Yes;No;No;no driver gene;0;tumor;1;Apoptosis;apoptosis associated transcript in bladder cancer;no summary available;;21;43812566;43805757;21q22.3;No
26574;AATF;Yes;No;Yes;no driver gene;0;cancer;1;Apoptosis;apoptosis antagonizing transcription factor;The protein encoded by this gene was identified on the basis of its interaction with MAP3K12/DLK, a protein kinase known to be involved in the induction of cell apoptosis. This gene product contains a leucine zipper, which is a characteristic motif of transcription factors, and was shown to exhibit strong transactivation activity when fused to Gal4 DNA binding domain. Overexpression of this gene interfered with MAP3K12 induced apoptosis. [provided by RefSeq, Jul 2008];BFR2, CHE-1, CHE1, DED;17;36948953;37056870;17q12;Yes
9625;AATK;Yes;No;No;no driver gene;0;cancer;1;Apoptosis;apoptosis associated tyrosine kinase;The protein encoded by this gene contains a tyrosine kinase domain at the N-terminus and a proline-rich domain at the C-terminus. This gene is induced during apoptosis, and expression of this gene may be a necessary pre-requisite for the induction of growth arrest and/or apoptosis of myeloid precursor cells. This gene has been shown to produce neuronal differentiation in a neuroblastoma cell line. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2011];AATYK, AATYK1, LMR1, LMTK1, PPP1R77, p35BP;17;81166220;81117294;17q25.3;No
19;ABCA1;Yes;No;No;no driver gene;0;tumor;3;Apoptosis/Autophagy/Efferocytosis;ATP binding cassette subfamily A member 1;The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. With cholesterol as its substrate, this protein functions as a cholesteral efflux pump in the cellular lipid removal pathway. Mutations in both alleles of this gene cause Tangier disease and familial high-density lipoprotein (HDL) deficiency. [provided by RefSeq, Sep 2019];ABC-1, ABC1, CERP, HDLCQTL13, HDLDT1, HPALP1, TGD;9;104928154;104781005;9q31.1;No
5243;ABCB1;Yes;No;No;no driver gene;0;cancer;4;Apoptosis/Autophagy/Mitotic catastrophe/Necrosis;ATP binding cassette subfamily B member 1;The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. The protein encoded by this gene is an ATP-dependent drug efflux pump for xenobiotic compounds with broad substrate specificity. It is responsible for decreased drug accumulation in multidrug-resistant cells and often mediates the development of resistance to anticancer drugs. This protein also functions as a transporter in the blood-brain barrier. Mutations in this gene are associated with colchicine resistance and Inflammatory bowel disease 13. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Feb 2017];ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1, p-170;7;87713294;87503016;7q21.12;No
23456;ABCB10;Yes;No;Yes;no driver gene;0;cancer;2;Apoptosis/Ferroptosis;ATP binding cassette subfamily B member 10;The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intra-cellular membranes.  ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White).  This protein is a member of the MDR/TAP subfamily.  Members of the MDR/TAP subfamily are involved in multidrug resistance.  The function of this mitochondrial protein is unknown. [provided by RefSeq, Jul 2008];EST20237, M-ABC2, MTABC2;1;229558706;229516581;1q42.13;Yes
8647;ABCB11;Yes;No;No;no driver gene;0;cancer;1;Necrosis;ATP binding cassette subfamily B member 11;The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. The protein encoded by this gene is the major canalicular bile salt export pump in man. Mutations in this gene cause a form of progressive familial intrahepatic cholestases which are a group of inherited disorders with severe cholestatic liver disease from early infancy. [provided by RefSeq, Jul 2008];ABC16, BRIC2, BSEP, PFIC-2, PFIC2, PGY4, SPGP;2;169031323;168915389;2q31.1;No
